"WeekDate","Site","Chl0","EKE0","FSLE0","SSH0","Temp0","Temp200","Temp400","Temp700","Sal0","Sal200","Sal400","Sal700","VelMag0","VelAsp0","CEddyDist0","AEddyDist0","Md","Zc","Me","Kg","Gg","Mb","Pm","Mm","Gm","Dd"
2016-08-21,"NFC",0.472483841428571,128.3088163,-0.071037257,-0.578821228571429,27.0291242857143,22.1213712857143,13.509666,11.9862862857143,32.6983342857143,34.0021671428571,34.4680785714286,34.70095,0.352183093714286,198.251260914286,139.175594428571,224.383309142857,0,2,1,1,3,11,25,2,141,63
2016-08-28,"NFC",0.269574251428571,43.0909113,-0.073292497,-0.606624057142857,26.2911667142857,23.983208,14.6093814285714,13.4775997142857,33.7522585714286,34.1395685714286,34.8510942857143,35.1944214285714,0.307864879571429,181.051069285714,141.642084428571,260.234711142857,0,3,0,0,16,0,57,0,102,182
2016-09-04,"NFC",0.28621723,487.556197628571,-0.0685084062857143,-0.565276985714286,24.4523474285714,23.7905194285714,17.4012358571429,13.9502935714286,34.4910057142857,34.5170714285714,34.66358,34.9231428571429,0.463190178,179.124994285714,84.1557217142857,273.396815571429,0,1,0,0,5,1,8,0,165,174
2016-09-11,"NFC",0.295879674285714,183.569977457143,-0.0616200031428571,-0.547973071428571,24.5145897142857,22.6525274285714,13.6267972857143,13.0751375714286,34.00684,34.3704028571429,34.3154228571429,34.5981828571429,0.380728739714286,191.011020042857,222.353357,239.684102714286,0,2,0,0,3,0,14,3,118,136
2016-09-18,"NFC",0.316697098571429,50.0053776428571,-0.151831090428571,-0.560126928571429,24.8184752857143,21.6168575714286,13.840659,13.8521801428571,33.7127371428571,34.4145185714286,34.4990171428571,35.0900728571429,0.312985909428571,205.522894842857,97.7193185714286,210.532111714286,0,1,0,0,8,0,9,0,201,161
2016-09-25,"NFC",0.384232174285714,53.8217358,-0.197022485,-0.531399971428571,25.1005907142857,23.7133261428571,14.4613274285714,13.3101314285714,33.8160357142857,34.01271,34.3603071428571,34.8299557142857,0.245712199142857,207.8257348,65.6947711428571,203.879856857143,0,0,0,1,46,0,8,0,175,82
2016-10-02,"NFC",0.321372381428571,253.120777342857,-0.0585421634285714,-0.640442928571429,23.9075285714286,22.664624,13.6559458571429,12.4420264285714,33.5271142857143,33.7585,34.0592585714286,34.4808642857143,0.381292763428571,210.8736131,59.7081814285714,226.479138,0,4,0,2,3,0,8,1,157,112
2016-10-09,"NFC",0.645036505714286,1543.60070098571,-0.0658404387142857,-0.680071971428571,21.823576,21.6008867142857,17.5574797142857,13.9785297142857,34.4848771428571,34.5306957142857,34.6908642857143,35.15925,0.732702839285714,203.016107557143,71.2363724285714,291.679015,0,1,0,0,5,0,23,3,288,149
2016-10-16,"NFC",0.67551282,1847.17855984286,-0.0659822362857143,-0.660151485714286,20.7638557142857,20.5892908571429,16.547601,13.2139208571429,34.6430442857143,34.6524585714286,34.6446628571429,34.93666,0.691741344428571,198.064203385714,154.172962857143,247.623338142857,0,0,0,0,32,3,13,1,412,383
2016-10-23,"NFC",0.669529735714286,566.9364455,-0.0843654398571429,-0.610388985714286,19.5517832857143,19.5460594285714,19.2621242857143,15.556228,35.1026242857143,35.1048428571429,35.0961442857143,35.5223514285714,0.366875584857143,200.4786496,166.076409571429,282.535695857143,0,0,0,2,19,2,20,14,355,533
